ID_MUNICIPIO;ANNO;HOGARES;ID_DEPARTAMENTO
18756;2018;3010;18
18785;2018;1928;18
18860;2018;2058;18
19001;2018;110820;19
19022;2018;7377;19
19050;2018;9966;19
19075;2018;8178;19
19100;2018;14254;19
19110;2018;11297;19
19130;2018;13906;19
19137;2018;11773;19
19142;2018;10565;19
19212;2018;8843;19
19256;2018;19206;19
19290;2018;1897;19
19300;2018;6972;19
19318;2018;7572;19
19355;2018;9878;19
19364;2018;5456;19
19392;2018;3997;19
19397;2018;9317;19
19418;2018;4975;19
19450;2018;8994;19
19455;2018;11178;19
19473;2018;16009;19
19513;2018;3608;19
19517;2018;14099;19
19532;2018;14721;19
19533;2018;3310;19
19548;2018;14713;19
19573;2018;13388;19
19585;2018;5947;19
19622;2018;4269;19
19693;2018;4326;19
19698;2018;35746;19
19701;2018;1736;19
19743;2018;12165;19
19760;2018;5340;19
19780;2018;12704;19
19785;2018;4148;19
19807;2018;12376;19
19809;2018;7272;19
19821;2018;12037;19
19824;2018;8100;19
19845;2018;7042;19
20001;2018;134595;20
20011;2018;34295;20
20013;2018;17485;20
20032;2018;5980;20
20045;2018;5645;20
20060;2018;10674;20
20175;2018;9852;20
20178;2018;7687;20
20228;2018;10910;20
20238;2018;7929;20
20250;2018;10289;20
20295;2018;5144;20
20310;2018;1327;20
20383;2018;5206;20
20400;2018;15379;20
20443;2018;2955;20
20517;2018;5493;20
20550;2018;6218;20
20570;2018;6287;20
20614;2018;5380;20
20621;2018;7992;20
20710;2018;8400;20
20750;2018;5534;20
20770;2018;8273;20
20787;2018;4531;20
23001;2018;146961;23
23068;2018;14343;23
23079;2018;6301;23
23090;2018;4095;23
23162;2018;33603;23
23168;2018;5472;23
23182;2018;13551;23
23189;2018;16229;23
23300;2018;6145;23
23350;2018;4282;23
23417;2018;35868;23
23419;2018;6041;23
23464;2018;6221;23
23466;2018;26024;23
23500;2018;8982;23
23555;2018;17940;23
23570;2018;10933;23
23574;2018;6585;23
23580;2018;13437;23
23586;2018;5060;23
23660;2018;32858;23
23670;2018;13250;23
23672;2018;10530;23
23675;2018;11401;23
23678;2018;8297;23
23682;2018;4022;23
23686;2018;18475;23
23807;2018;24329;23
23815;2018;14311;23
23855;2018;11778;23
25001;2018;4443;25
25019;2018;2202;25
25035;2018;5333;25
25040;2018;5432;25
25053;2018;3681;25
25086;2018;668;25
25095;2018;969;25
25099;2018;3068;25
25120;2018;1479;25
25123;2018;3772;25
25126;2018;26430;25
25148;2018;4937;25
25151;2018;5950;25
25154;2018;2457;25
25168;2018;1619;25
25175;2018;43990;25
25178;2018;3032;25
25181;2018;3698;25
25183;2018;6141;25
25200;2018;6773;25
25214;2018;9967;25
25224;2018;2219;25
25245;2018;9630;25
25258;2018;1873;25
25260;2018;7356;25
25269;2018;45268;25
25279;2018;4064;25
25281;2018;1871;25
25286;2018;30185;25
25288;2018;1463;25
25290;2018;49441;25
25293;2018;1579;25
25295;2018;5453;25
25297;2018;3003;25
25299;2018;1124;25
25307;2018;37828;25
25312;2018;2250;25
25317;2018;4463;25
25320;2018;10087;25
25322;2018;4905;25
25324;2018;1632;25
25326;2018;2023;25
25328;2018;1672;25
25335;2018;2082;25
25339;2018;1189;25
25368;2018;1098;25
25372;2018;2050;25
25377;2018;9644;25
25386;2018;12388;25
25394;2018;3715;25
25398;2018;2231;25
25402;2018;5788;25
25407;2018;3002;25
25426;2018;2245;25
25430;2018;36018;25
25436;2018;1479;25
25438;2018;2960;25
25473;2018;41673;25
25483;2018;951;25
25486;2018;4268;25
25488;2018;2854;25
25489;2018;1499;25
25491;2018;2310;25
25506;2018;1526;25
25513;2018;8980;25
25518;2018;1507;25
25524;2018;1786;25
25530;2018;2686;25
25535;2018;2953;25
25572;2018;5057;25
25580;2018;1272;25
25592;2018;1710;25
25594;2018;1672;25
25596;2018;2451;25
25599;2018;3054;25
25612;2018;5474;25
25645;2018;4508;25
25649;2018;3005;25
25653;2018;1731;25
25658;2018;3852;25
25662;2018;2985;25
25718;2018;3959;25
25736;2018;3488;25
25740;2018;10904;25
25743;2018;7673;25
25745;2018;4326;25
25754;2018;213348;25
25758;2018;8018;25
25769;2018;5016;25
25772;2018;6247;25
25777;2018;1965;25
25779;2018;2046;25
25781;2018;1791;25
25785;2018;6738;25
25793;2018;2435;25
25797;2018;3568;25
25799;2018;7580;25
25805;2018;1892;25
25807;2018;1276;25
25815;2018;7091;25
25817;2018;12933;25
25823;2018;1672;25
25839;2018;2393;25
25841;2018;2346;25
25843;2018;12933;25
25845;2018;2284;25
25851;2018;1711;25
25862;2018;2534;25
25867;2018;1626;25
25871;2018;634;25
25873;2018;4961;25
25875;2018;9606;25
25878;2018;4875;25
25885;2018;4421;25
25898;2018;1683;25
25899;2018;40545;25
27001;2018;37982;27
27006;2018;4609;27
27025;2018;6418;27
27050;2018;1945;27
27073;2018;3142;27
27075;2018;2778;27
27077;2018;7514;27
27099;2018;3211;27
27135;2018;1944;27
27150;2018;5582;27
27160;2018;2030;27
27205;2018;3942;27
27245;2018;2572;27
27250;2018;5588;27
27361;2018;8936;27
27372;2018;1701;27
27413;2018;2729;27
27425;2018;3306;27
27430;2018;4392;27
27450;2018;3380;27
27491;2018;3100;27
27495;2018;4026;27
27580;2018;1710;27
27600;2018;2284;27
27615;2018;16900;27
27660;2018;1718;27
27745;2018;1026;27
27787;2018;5771;27
27800;2018;4040;27
27810;2018;2149;27
41001;2018;110940;41
41006;2018;7189;41
41013;2018;2512;41
41016;2018;4861;41
41020;2018;7213;41
41026;2018;1359;41
41078;2018;2683;41
41132;2018;9947;41
41206;2018;2264;41
41244;2018;1367;41
41298;2018;22201;41
41306;2018;7568;41
41319;2018;5206;41
41349;2018;2405;41
41357;2018;2686;41
41359;2018;7958;41
41378;2018;3934;41
41396;2018;19101;41
41483;2018;2012;41
41503;2018;3126;41
41518;2018;1990;41
41524;2018;8384;41
41530;2018;3131;41
41548;2018;4066;41
41551;2018;36166;41
41615;2018;6953;41
41660;2018;2967;41
41668;2018;10423;41
41676;2018;3110;41
41770;2018;7567;41
41791;2018;5279;41
41797;2018;3315;41
41799;2018;3470;41
41801;2018;2492;41
41807;2018;7018;41
41872;2018;2540;41
41885;2018;2361;41
44001;2018;52690;44
44035;2018;7917;44
44078;2018;9778;44
44090;2018;9726;44
44098;2018;3683;44
44110;2018;1958;44
44279;2018;11506;44
44378;2018;5859;44
44420;2018;1036;44
44430;2018;46771;44
44560;2018;23024;44
44650;2018;13446;44
44847;2018;43470;44
44855;2018;3208;44
44874;2018;8359;44
47001;2018;137329;47
47030;2018;4067;47
47053;2018;10769;47
47058;2018;8203;47
47161;2018;2744;47
47170;2018;6478;47
47189;2018;29705;47
47205;2018;3074;47
47245;2018;18740;47
47258;2018;6879;47
47268;2018;4515;47
47288;2018;16747;47
47318;2018;6611;47
47460;2018;5125;47
47541;2018;2641;47
47545;2018;3337;47
47551;2018;10232;47
47555;2018;17604;47
47570;2018;8592;47
47605;2018;3506;47
47660;2018;3782;47
47675;2018;3254;47
47692;2018;4998;47
47703;2018;3009;47
47707;2018;7402;47
47720;2018;2972;47
47745;2018;7096;47
47798;2018;3821;47
47960;2018;2686;47
47980;2018;17289;47
50001;2018;175568;50
50006;2018;27730;50
50110;2018;1987;50
50124;2018;1930;50
50150;2018;4392;50
50223;2018;2656;50
50226;2018;8112;50
50245;2018;600;50
50251;2018;2614;50
50270;2018;1367;50
50287;2018;3974;50
50313;2018;23276;50
50318;2018;4563;50
50325;2018;2173;50
50330;2018;4032;50
50350;2018;8095;50
50370;2018;2802;50
50400;2018;3922;50
50450;2018;2921;50
50568;2018;11263;50
50573;2018;9760;50
50577;2018;3661;50
50590;2018;4685;50
50606;2018;5893;50
50680;2018;3802;50
50683;2018;3370;50
50686;2018;408;50
50689;2018;9525;50
50711;2018;5971;50
52001;2018;125417;52
52019;2018;3950;52
52022;2018;2547;52
52036;2018;3887;52
52051;2018;2562;52
52079;2018;15527;52
52083;2018;2272;52
52110;2018;8979;52
52203;2018;3073;52
52207;2018;5626;52
52210;2018;2595;52
52215;2018;5364;52
52224;2018;2959;52
52227;2018;12095;52
52233;2018;2137;52
52240;2018;4837;52
52250;2018;6126;52
52254;2018;2771;52
52256;2018;5664;52
52258;2018;5308;52
52260;2018;5575;52
52287;2018;3000;52
52317;2018;6732;52
52320;2018;4572;52
52323;2018;2554;52
52352;2018;2864;52
52354;2018;2836;52
52356;2018;36672;52
52378;2018;6940;52
52381;2018;3840;52
52385;2018;2703;52
52390;2018;1910;52
52399;2018;11633;52
52405;2018;4004;52
52411;2018;3999;52
52418;2018;3345;52
52427;2018;5108;52
52435;2018;3089;52
52473;2018;3403;52
52480;2018;1564;52
52490;2018;7094;52
52506;2018;2715;52
52520;2018;4436;52
52540;2018;3602;52
52560;2018;3409;52
52565;2018;2550;52
52573;2018;3160;52
52585;2018;5660;52
52612;2018;6106;52
52621;2018;3641;52
52678;2018;12792;52
52683;2018;7660;52
52685;2018;3254;52
52687;2018;6477;52
52693;2018;5477;52
52694;2018;2296;52
52696;2018;4089;52
52699;2018;3852;52
52720;2018;2389;52
52786;2018;6386;52
52788;2018;4334;52
52835;2018;83981;52
52838;2018;14580;52
52885;2018;3674;52
54001;2018;206290;54
54003;2018;8720;54
54051;2018;2737;54
54099;2018;2447;54
54109;2018;1636;54
54125;2018;831;54
54128;2018;3186;54
54172;2018;5557;54
54174;2018;3108;54
54206;2018;5173;54
54223;2018;2402;54
54239;2018;1339;54
54245;2018;3882;54
54250;2018;5682;54
54261;2018;7773;54
54313;2018;2201;54
54344;2018;2631;54
54347;2018;1897;54
54377;2018;1893;54
54385;2018;3106;54
54398;2018;2010;54
54405;2018;26118;54
54418;2018;1078;54
54480;2018;1276;54
54498;2018;34597;54
54518;2018;15542;54
54520;2018;1617;54
54553;2018;2464;54
54599;2018;1597;54
54660;2018;2874;54
54670;2018;3415;54
54673;2018;2095;54
54680;2018;984;54
54720;2018;7293;54
54743;2018;1758;54
54800;2018;4841;54
54810;2018;15057;54
54820;2018;4571;54
54871;2018;1341;54
54874;2018;30273;54
63001;2018;101871;63
63111;2018;1012;63
63130;2018;24631;63
63190;2018;9311;63
63212;2018;1974;63
63272;2018;4239;63
63302;2018;2538;63
63401;2018;10520;63
63470;2018;12128;63
63548;2018;1709;63
63594;2018;10368;63
63690;2018;3503;63
66001;2018;157003;66
66045;2018;4081;66
66075;2018;2009;66
66088;2018;7948;66
66170;2018;71250;66
66318;2018;4207;66
66383;2018;2532;66
66400;2018;9373;66
66440;2018;5774;66
66456;2018;4557;66
66572;2018;4139;66
66594;2018;8135;66
66682;2018;24197;66
66687;2018;4203;66
68001;2018;191050;68
68013;2018;644;68
68020;2018;1510;68
68051;2018;2471;68
68077;2018;10393;68
68079;2018;3451;68
68081;2018;62290;68
68092;2018;1854;68
68101;2018;3705;68
68121;2018;609;68
68132;2018;676;68
68147;2018;1948;68
68152;2018;1344;68
68160;2018;623;68
68162;2018;2071;68
68167;2018;4150;68
68169;2018;950;68
68176;2018;1026;68
68179;2018;1817;68
68190;2018;10424;68
68207;2018;2060;68
68209;2018;933;68
68211;2018;1424;68
68217;2018;1693;68
68229;2018;3756;68
68235;2018;7460;68
68245;2018;883;68
68250;2018;1535;68
68255;2018;4056;68
68264;2018;821;68
68266;2018;1083;68
68271;2018;1858;68
68276;2018;89772;68
68296;2018;943;68
68298;2018;1484;68
68307;2018;48611;68
68318;2018;1761;68
68320;2018;1580;68
68322;2018;807;68
68324;2018;1622;68
68327;2018;1943;68
68344;2018;860;68
68368;2018;1295;68
68370;2018;367;68
68377;2018;2075;68
68385;2018;3572;68
68397;2018;1785;68
68406;2018;13934;68
68418;2018;4197;68
68425;2018;753;68
68432;2018;6644;68
68444;2018;1644;68
68464;2018;3140;68
68468;2018;1302;68
68498;2018;1823;68
68500;2018;3595;68
68502;2018;1523;68
68522;2018;448;68
68524;2018;821;68
68533;2018;1416;68
68547;2018;51614;68
68549;2018;1831;68
68572;2018;5230;68
68573;2018;2485;68
68575;2018;9815;68
68615;2018;8383;68
68655;2018;10376;68
68669;2018;2915;68
68673;2018;1017;68
68679;2018;18800;68
68682;2018;761;68
68684;2018;1337;68
68686;2018;838;68
68689;2018;11635;68
68705;2018;772;68
68720;2018;1172;68
68745;2018;3151;68
68755;2018;9927;68
68770;2018;3719;68
68773;2018;2363;68
68780;2018;1243;68
68820;2018;2315;68
68855;2018;1896;68
68861;2018;8551;68
68867;2018;671;68
68872;2018;2465;68
68895;2018;3015;68
70001;2018;75299;70
70110;2018;2755;70
70124;2018;4341;70
70204;2018;2504;70
70215;2018;18811;70
70221;2018;5110;70
70230;2018;1158;70
70233;2018;2706;70
70235;2018;6484;70
70265;2018;4790;70
70400;2018;3451;70
70418;2018;6713;70
70429;2018;10313;70
70473;2018;3950;70
70508;2018;6514;70
70523;2018;3870;70
70670;2018;11799;70
70678;2018;8372;70
70702;2018;3744;70
70708;2018;16034;70
70713;2018;12890;70
70717;2018;5196;70
70742;2018;8709;70
70771;2018;9241;70
70820;2018;9091;70
70823;2018;5717;70
73001;2018;183137;73
73024;2018;1707;73
73026;2018;2899;73
73030;2018;2464;73
73043;2018;3023;73
73055;2018;4540;73
73067;2018;5913;73
73124;2018;5861;73
73148;2018;3646;73
73152;2018;2171;73
73168;2018;17173;73
73200;2018;2877;73
73217;2018;7968;73
73226;2018;3229;73
73236;2018;3572;73
73268;2018;23283;73
73270;2018;2535;73
73275;2018;9458;73
73283;2018;10815;73
73319;2018;11768;73
73347;2018;2459;73
73349;2018;8471;73
73352;2018;4325;73
73408;2018;6236;73
73411;2018;12560;73
73443;2018;12753;73
73449;2018;14184;73
73461;2018;1322;73
73483;2018;4979;73
73504;2018;11296;73
73520;2018;3068;73
73547;2018;2542;73
73555;2018;7443;73
73563;2018;2877;73
73585;2018;7775;73
73616;2018;6655;73
73622;2018;1818;73
73624;2018;6810;73
73671;2018;4710;73
73675;2018;3940;73
73678;2018;4752;73
73686;2018;1889;73
73770;2018;1403;73
73854;2018;2172;73
73861;2018;4207;73
73870;2018;3183;73
73873;2018;1936;73
76001;2018;706601;76
76020;2018;4595;76
76036;2018;8164;76
76041;2018;5970;76
76054;2018;1774;76
76100;2018;5115;76
76109;2018;83740;76
76111;2018;40860;76
76113;2018;7475;76
76122;2018;9913;76
76126;2018;5962;76
76130;2018;26275;76
76147;2018;44009;76
