ID_MUNICIPIO;ANNO;POBLACION;ID_DEPARTAMENTO
5206;2026;5126;5
5206;2027;5167;5
5206;2028;5225;5
5206;2029;5273;5
5206;2030;5333;5
5206;2031;5377;5
5206;2032;5438;5
5206;2033;5493;5
5206;2034;5536;5
5206;2035;5595;5
5209;2018;21377;5
5209;2019;21504;5
5209;2020;21688;5
5209;2021;22024;5
5209;2022;22364;5
5209;2023;22713;5
5209;2024;22908;5
5209;2025;23084;5
5209;2026;23275;5
5209;2027;23482;5
5209;2028;23722;5
5209;2029;23932;5
5209;2030;24165;5
5209;2031;24452;5
5209;2032;24682;5
5209;2033;24945;5
5209;2034;25181;5
5209;2035;25426;5
5212;2018;77884;5
5212;2019;80000;5
5212;2020;81820;5
5212;2021;83106;5
5212;2022;84389;5
5212;2023;85706;5
5212;2024;87020;5
5212;2025;88278;5
5212;2026;89492;5
5212;2027;90645;5
5212;2028;91734;5
5212;2029;92761;5
5212;2030;93723;5
5212;2031;94644;5
5212;2032;95548;5
5212;2033;96437;5
5212;2034;97282;5
5212;2035;98121;5
5234;2018;23044;5
5234;2019;23255;5
5234;2020;23509;5
5234;2021;23874;5
5234;2022;24242;5
5234;2023;24621;5
5234;2024;24855;5
5234;2025;25080;5
5234;2026;25284;5
5234;2027;25534;5
5234;2028;25780;5
5234;2029;26028;5
5234;2030;26296;5
5234;2031;26574;5
5234;2032;26838;5
5234;2033;27101;5
5234;2034;27346;5
5234;2035;27599;5
5237;2018;18902;5
5237;2019;19332;5
5237;2020;19709;5
5237;2021;20018;5
5237;2022;20328;5
5237;2023;20645;5
5237;2024;20922;5
5237;2025;21181;5
5237;2026;21434;5
5237;2027;21677;5
5237;2028;21932;5
5237;2029;22168;5
5237;2030;22402;5
5237;2031;22608;5
5237;2032;22831;5
5237;2033;23051;5
5237;2034;23268;5
5237;2035;23463;5
5240;2018;12158;5
5240;2019;12108;5
5240;2020;12134;5
5240;2021;12322;5
5240;2022;12512;5
5240;2023;12708;5
5240;2024;12766;5
5240;2025;12856;5
5240;2026;12943;5
5240;2027;13040;5
5240;2028;13154;5
5240;2029;13269;5
5240;2030;13399;5
5240;2031;13548;5
5240;2032;13705;5
5240;2033;13834;5
5240;2034;13952;5
5240;2035;14101;5
5250;2018;51862;5
5250;2019;52925;5
5250;2020;53846;5
5250;2021;54681;5
5250;2022;55525;5
5250;2023;56392;5
5250;2024;57136;5
5250;2025;57841;5
5250;2026;58520;5
5250;2027;59195;5
5250;2028;59837;5
5250;2029;60493;5
5250;2030;61106;5
5250;2031;61709;5
5250;2032;62312;5
5250;2033;62881;5
5250;2034;63464;5
5250;2035;64022;5
5264;2018;11159;5
5264;2019;11465;5
5264;2020;11728;5
5264;2021;11912;5
5264;2022;12096;5
5264;2023;12285;5
5264;2024;12421;5
5264;2025;12552;5
5264;2026;12686;5
5264;2027;12812;5
5264;2028;12940;5
5264;2029;13095;5
5264;2030;13215;5
5264;2031;13361;5
5264;2032;13488;5
5264;2033;13603;5
5264;2034;13747;5
5264;2035;13875;5
5266;2018;228848;5
5266;2019;236114;5
5266;2020;242197;5
5266;2021;246003;5
5266;2022;249800;5
5266;2023;253699;5
5266;2024;258103;5
5266;2025;262339;5
5266;2026;266361;5
5266;2027;270116;5
5266;2028;273575;5
5266;2029;276781;5
5266;2030;279682;5
5266;2031;282404;5
5266;2032;285026;5
5266;2033;287581;5
5266;2034;290055;5
5266;2035;292439;5
5282;2018;24408;5
5282;2019;24553;5
5282;2020;24754;5
5282;2021;25138;5
5282;2022;25526;5
5282;2023;25924;5
5282;2024;26141;5
5282;2025;26339;5
5282;2026;26555;5
5282;2027;26803;5
5282;2028;27038;5
5282;2029;27303;5
5282;2030;27590;5
5282;2031;27872;5
5282;2032;28153;5
5282;2033;28438;5
5282;2034;28732;5
5282;2035;28998;5
5284;2018;20739;5
5284;2019;20657;5
5284;2020;20700;5
5284;2021;21021;5
5284;2022;21346;5
5284;2023;21679;5
5284;2024;21888;5
5284;2025;22106;5
5284;2026;22313;5
5284;2027;22517;5
5284;2028;22739;5
5284;2029;22970;5
5284;2030;23207;5
5284;2031;23443;5
5284;2032;23671;5
5284;2033;23915;5
5284;2034;24124;5
5284;2035;24359;5
5306;2018;5544;5
5306;2019;5652;5
5306;2020;5750;5
5306;2021;5839;5
5306;2022;5929;5
5306;2023;6022;5
5306;2024;6078;5
5306;2025;6114;5
5306;2026;6174;5
5306;2027;6225;5
5306;2028;6305;5
5306;2029;6359;5
5306;2030;6437;5
5306;2031;6508;5
5306;2032;6565;5
5306;2033;6620;5
5306;2034;6692;5
5306;2035;6738;5
5308;2018;51662;5
5308;2019;53162;5
5308;2020;54439;5
5308;2021;55294;5
5308;2022;56148;5
5308;2023;57024;5
5308;2024;57714;5
5308;2025;58358;5
5308;2026;58969;5
5308;2027;59626;5
5308;2028;60264;5
5308;2029;60897;5
5308;2030;61526;5
5308;2031;62147;5
5308;2032;62764;5
5308;2033;63380;5
5308;2034;63958;5
5308;2035;64526;5
5310;2018;9753;5
5310;2019;9828;5
5310;2020;9921;5
5310;2021;10075;5
5310;2022;10230;5
5310;2023;10390;5
5310;2024;10516;5
5310;2025;10615;5
5310;2026;10731;5
5310;2027;10852;5
5310;2028;10963;5
5310;2029;11072;5
5310;2030;11179;5
5310;2031;11304;5
5310;2032;11410;5
5310;2033;11522;5
5310;2034;11634;5
5310;2035;11738;5
5313;2018;10117;5
5313;2019;9870;5
5313;2020;9764;5
5313;2021;9915;5
5313;2022;10069;5
5313;2023;10226;5
5313;2024;10348;5
5313;2025;10446;5
5313;2026;10571;5
5313;2027;10683;5
5313;2028;10792;5
5313;2029;10902;5
5313;2030;11028;5
5313;2031;11134;5
5313;2032;11248;5
5313;2033;11350;5
5313;2034;11471;5
5313;2035;11557;5
5315;2018;6560;5
5315;2019;6607;5
5315;2020;6665;5
5315;2021;6768;5
5315;2022;6873;5
5315;2023;6980;5
5315;2024;7034;5
5315;2025;7102;5
5315;2026;7159;5
5315;2027;7214;5
5315;2028;7284;5
5315;2029;7365;5
5315;2030;7433;5
5315;2031;7509;5
5315;2032;7578;5
5315;2033;7674;5
5315;2034;7733;5
5315;2035;7815;5
5318;2018;55121;5
5318;2019;56774;5
5318;2020;58159;5
5318;2021;59073;5
5318;2022;59985;5
5318;2023;60921;5
5318;2024;61405;5
5318;2025;61905;5
5318;2026;62422;5
5318;2027;62979;5
5318;2028;63570;5
5318;2029;64178;5
5318;2030;64841;5
5318;2031;65524;5
5318;2032;66187;5
5318;2033;66831;5
5318;2034;67493;5
5318;2035;68121;5
5321;2018;8363;5
5321;2019;8548;5
5321;2020;8709;5
5321;2021;8844;5
5321;2022;8981;5
5321;2023;9121;5
5321;2024;9252;5
5321;2025;9355;5
5321;2026;9468;5
5321;2027;9582;5
